package,source,version,r_version,assessment_date,rating
ADGofTest,CRAN,0.3,4.3.1,2023-11-27,low
ADMM,CRAN,0.3.3,4.3.1,2023-11-27,low
AIPW,CRAN,0.6.3.2,4.3.1,2023-11-27,medium
ALL,other,1.44.0,4.3.1,2023-11-27,low
Amelia,CRAN,1.8.2,4.3.1,2023-11-27,low
AnnotationDbi,BIOC,1.64.1,4.3.1,2023-11-27,low
AsioHeaders,CRAN,1.22.1-2,4.3.1,2023-11-27,low
AzureAuth,CRAN,1.3.3,4.3.1,2023-11-27,low
AzureGraph,CRAN,1.3.4,4.3.1,2023-11-27,low
BART,CRAN,2.9.7,4.3.1,2023-11-27,low
BB,CRAN,2019.10-1,4.3.1,2023-11-27,low
BBmisc,CRAN,1.13,4.3.1,2023-11-27,low
BE,CRAN,0.2.4,4.3.1,2024-04-17,low
BH,CRAN,1.84.0-0,4.3.1,2023-11-27,low
BOIN,CRAN,2.7.2,4.3.1,2023-11-27,medium
BatchJobs,CRAN,1.9,4.3.1,2023-11-27,medium
Biobase,BIOC,2.62.0,4.3.1,2023-11-27,low
BiocBaseUtils,BIOC,1.4.0,4.3.1,2023-11-27,medium
BiocGenerics,BIOC,0.48.1,4.3.1,2023-11-27,low
BiocManager,CRAN,1.30.23,4.3.1,2023-11-27,low
BiocVersion,BIOC,3.18.1,4.3.1,2023-11-27,low
Biostrings,BIOC,2.70.3,4.3.1,2023-11-27,low
Brobdingnag,CRAN,1.2-9,4.3.1,2023-11-27,low
C50,CRAN,0.1.8,4.3.1,2023-11-27,low
CBPS,CRAN,0.23,4.3.1,2023-11-27,medium
CMAverse,other,0.1.0,4.3.1,2023-11-27,medium
CVXR,CRAN,1.0-13,4.3.1,2023-11-27,low
Cairo,CRAN,1.6-2,4.3.1,2023-11-27,low
CommonJavaJars,CRAN,1.1-0,4.3.1,2023-11-27,low
CompQuadForm,CRAN,1.4.3,4.3.1,2023-11-27,low
ComplexHeatmap,BIOC,2.18.0,4.3.1,2023-11-27,low
ConsRank,CRAN,2.1.4,4.3.1,2023-11-27,low
